case_id,customer_id,amount,currency,payment_status,failure_reason,failure_count,customer_attempt_count,days_since_failure,is_customer_active,has_valid_payment_method,scenario_labels
BATCH-000018,CUSTOMER-000018,5585.74,INR,FAILED,CARD_DECLINED,1,0,13,True,True,CONTACT_FAVORABLE
BATCH-000019,CUSTOMER-000019,41683.17,INR,RECOVERABLE,NETWORK_ERROR,1,1,19,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000020,CUSTOMER-000020,8250.77,INR,FAILED,UNKNOWN,6,5,23,False,False,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000021,CUSTOMER-000021,191.64,INR,EXPIRED,UNKNOWN,2,2,55,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000022,CUSTOMER-000022,3391.49,INR,FAILED,INSUFFICIENT_FUNDS,1,0,6,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000023,CUSTOMER-000023,9584.34,INR,FAILED,CARD_DECLINED,3,2,5,True,False,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000024,CUSTOMER-000024,43666.77,INR,RECOVERABLE,NETWORK_ERROR,2,0,19,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000025,CUSTOMER-000025,8104.36,INR,FAILED,NETWORK_ERROR,4,2,15,False,True,POLICY_BLOCKED
BATCH-000026,CUSTOMER-000026,291.56,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,0,0,59,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000027,CUSTOMER-000027,6721.21,INR,FAILED,INSUFFICIENT_FUNDS,0,0,2,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000028,CUSTOMER-000028,3385.51,INR,FAILED,UNKNOWN,3,3,7,True,False,RECENT_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000029,CUSTOMER-000029,49805.97,INR,RECOVERABLE,CARD_DECLINED,2,2,11,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000030,CUSTOMER-000030,9578.24,INR,FAILED,PAYMENT_METHOD_EXPIRED,4,1,22,True,True,POLICY_BLOCKED
BATCH-000031,CUSTOMER-000031,105.75,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,2,0,51,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000032,CUSTOMER-000032,1072.9,INR,FAILED,NETWORK_ERROR,0,0,5,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000033,CUSTOMER-000033,7020.8,INR,RECOVERABLE,CARD_DECLINED,1,1,9,True,True,CONTACT_FAVORABLE
BATCH-000034,CUSTOMER-000034,42299.88,INR,RECOVERABLE,NETWORK_ERROR,0,0,3,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000035,CUSTOMER-000035,7731.65,INR,FAILED,INSUFFICIENT_FUNDS,6,3,29,False,True,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000036,CUSTOMER-000036,682.57,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,0,0,38,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000037,CUSTOMER-000037,5058.43,INR,FAILED,INSUFFICIENT_FUNDS,0,0,6,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000038,CUSTOMER-000038,3248.26,INR,FAILED,CARD_DECLINED,1,0,8,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000039,CUSTOMER-000039,48759.85,INR,RECOVERABLE,CARD_DECLINED,0,0,5,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000040,CUSTOMER-000040,10145.81,INR,RECOVERABLE,NETWORK_ERROR,6,6,16,True,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000041,CUSTOMER-000041,728.1,INR,EXPIRED,UNKNOWN,1,0,44,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000042,CUSTOMER-000042,2114.13,INR,FAILED,INSUFFICIENT_FUNDS,0,0,0,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000043,CUSTOMER-000043,1451.28,INR,FAILED,CARD_DECLINED,2,2,9,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000044,CUSTOMER-000044,13204.46,INR,RECOVERABLE,NETWORK_ERROR,0,0,2,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000045,CUSTOMER-000045,8671.74,INR,FAILED,AUTHENTICATION_FAILED,7,5,22,False,True,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000046,CUSTOMER-000046,847.77,INR,EXPIRED,UNKNOWN,0,0,52,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000047,CUSTOMER-000047,2757.72,INR,RECOVERABLE,INSUFFICIENT_FUNDS,0,0,4,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000048,CUSTOMER-000048,1083.84,INR,FAILED,CARD_DECLINED,3,2,10,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000049,CUSTOMER-000049,15298.26,INR,RECOVERABLE,NETWORK_ERROR,1,1,2,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000050,CUSTOMER-000050,6414.76,INR,FAILED,UNKNOWN,6,6,24,False,False,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000051,CUSTOMER-000051,543.68,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,2,1,34,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000052,CUSTOMER-000052,1481.14,INR,RECOVERABLE,INSUFFICIENT_FUNDS,0,0,2,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000053,CUSTOMER-000053,7458.51,INR,RECOVERABLE,UNKNOWN,1,1,11,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000054,CUSTOMER-000054,46213.46,INR,RECOVERABLE,CARD_DECLINED,0,0,2,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000055,CUSTOMER-000055,1837.65,INR,RECOVERABLE,PAYMENT_METHOD_EXPIRED,5,5,19,False,True,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000056,CUSTOMER-000056,442.15,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,0,0,34,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000057,CUSTOMER-000057,5137.52,INR,RECOVERABLE,NETWORK_ERROR,1,0,2,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000058,CUSTOMER-000058,3774.33,INR,FAILED,CARD_DECLINED,1,1,6,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000059,CUSTOMER-000059,41204.65,INR,RECOVERABLE,NETWORK_ERROR,1,0,19,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000060,CUSTOMER-000060,17427.51,INR,RECOVERABLE,AUTHENTICATION_FAILED,4,1,28,True,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE
BATCH-000061,CUSTOMER-000061,313.44,INR,EXPIRED,UNKNOWN,2,0,34,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000062,CUSTOMER-000062,7798.04,INR,RECOVERABLE,INSUFFICIENT_FUNDS,0,0,3,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000063,CUSTOMER-000063,8384.83,INR,FAILED,UNKNOWN,1,1,4,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000064,CUSTOMER-000064,21144.12,INR,RECOVERABLE,CARD_DECLINED,0,0,8,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000065,CUSTOMER-000065,13910.84,INR,RECOVERABLE,CARD_DECLINED,7,4,25,False,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000066,CUSTOMER-000066,130.61,INR,EXPIRED,UNKNOWN,2,2,44,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000067,CUSTOMER-000067,7184.64,INR,RECOVERABLE,NETWORK_ERROR,1,1,1,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000068,CUSTOMER-000068,1399.48,INR,FAILED,UNKNOWN,2,1,1,True,False,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000069,CUSTOMER-000069,12798.95,INR,RECOVERABLE,CARD_DECLINED,2,2,10,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000070,CUSTOMER-000070,17112.29,INR,RECOVERABLE,AUTHENTICATION_FAILED,8,4,24,False,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000071,CUSTOMER-000071,543.53,INR,EXPIRED,UNKNOWN,0,0,44,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000072,CUSTOMER-000072,5731.88,INR,FAILED,INSUFFICIENT_FUNDS,1,1,6,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000073,CUSTOMER-000073,2891.64,INR,RECOVERABLE,UNKNOWN,3,3,10,True,False,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000074,CUSTOMER-000074,37025.09,INR,RECOVERABLE,NETWORK_ERROR,2,2,15,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000075,CUSTOMER-000075,2611.12,INR,FAILED,UNKNOWN,7,4,25,True,False,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000076,CUSTOMER-000076,279.71,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,0,0,35,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000077,CUSTOMER-000077,2581.16,INR,RECOVERABLE,INSUFFICIENT_FUNDS,1,0,1,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000078,CUSTOMER-000078,7465.11,INR,FAILED,CARD_DECLINED,2,0,8,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000079,CUSTOMER-000079,41136.82,INR,RECOVERABLE,CARD_DECLINED,0,0,5,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000080,CUSTOMER-000080,11590.71,INR,RECOVERABLE,AUTHENTICATION_FAILED,3,3,29,True,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000081,CUSTOMER-000081,764.46,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,2,2,45,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000082,CUSTOMER-000082,7822.71,INR,FAILED,INSUFFICIENT_FUNDS,1,1,4,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000083,CUSTOMER-000083,6640.74,INR,RECOVERABLE,CARD_DECLINED,2,1,8,True,True,CONTACT_FAVORABLE
BATCH-000084,CUSTOMER-000084,23433.9,INR,RECOVERABLE,NETWORK_ERROR,2,0,2,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000085,CUSTOMER-000085,5393.97,INR,RECOVERABLE,NETWORK_ERROR,8,8,19,False,True,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000086,CUSTOMER-000086,472.74,INR,EXPIRED,UNKNOWN,0,0,37,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000087,CUSTOMER-000087,8191.13,INR,RECOVERABLE,INSUFFICIENT_FUNDS,2,0,0,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000088,CUSTOMER-000088,9484.67,INR,RECOVERABLE,CARD_DECLINED,2,1,13,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000089,CUSTOMER-000089,18776.87,INR,RECOVERABLE,NETWORK_ERROR,1,1,15,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000090,CUSTOMER-000090,7386.46,INR,FAILED,PAYMENT_METHOD_EXPIRED,8,8,27,False,False,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000091,CUSTOMER-000091,121.57,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,1,0,49,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000092,CUSTOMER-000092,5963.37,INR,FAILED,NETWORK_ERROR,0,0,7,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000093,CUSTOMER-000093,4411.93,INR,RECOVERABLE,UNKNOWN,1,1,8,True,True,CONTACT_FAVORABLE
BATCH-000094,CUSTOMER-000094,20090.86,INR,RECOVERABLE,NETWORK_ERROR,0,0,15,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000095,CUSTOMER-000095,19998.25,INR,FAILED,INSUFFICIENT_FUNDS,5,1,22,False,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000096,CUSTOMER-000096,259.49,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,0,0,50,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000097,CUSTOMER-000097,1572.88,INR,FAILED,INSUFFICIENT_FUNDS,2,2,1,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000098,CUSTOMER-000098,3306.19,INR,FAILED,CARD_DECLINED,2,1,3,True,False,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000099,CUSTOMER-000099,14323.95,INR,RECOVERABLE,CARD_DECLINED,0,0,9,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000100,CUSTOMER-000100,18887.94,INR,FAILED,INSUFFICIENT_FUNDS,4,2,17,False,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000101,CUSTOMER-000101,780.23,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,2,2,56,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000102,CUSTOMER-000102,7152.4,INR,RECOVERABLE,NETWORK_ERROR,1,1,6,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000103,CUSTOMER-000103,1113.87,INR,RECOVERABLE,UNKNOWN,2,2,14,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000104,CUSTOMER-000104,45663.0,INR,RECOVERABLE,CARD_DECLINED,1,0,4,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000105,CUSTOMER-000105,14942.11,INR,RECOVERABLE,AUTHENTICATION_FAILED,8,6,23,False,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000106,CUSTOMER-000106,760.59,INR,EXPIRED,UNKNOWN,2,0,39,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000107,CUSTOMER-000107,7561.21,INR,RECOVERABLE,NETWORK_ERROR,0,0,4,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000108,CUSTOMER-000108,6128.65,INR,RECOVERABLE,UNKNOWN,3,1,7,True,True,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000109,CUSTOMER-000109,29502.0,INR,RECOVERABLE,CARD_DECLINED,1,1,8,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000110,CUSTOMER-000110,17726.08,INR,FAILED,INSUFFICIENT_FUNDS,8,3,23,False,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000111,CUSTOMER-000111,676.06,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,1,1,48,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000112,CUSTOMER-000112,5990.17,INR,FAILED,NETWORK_ERROR,1,1,7,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000113,CUSTOMER-000113,2994.37,INR,RECOVERABLE,UNKNOWN,3,2,4,True,True,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000114,CUSTOMER-000114,27020.15,INR,RECOVERABLE,CARD_DECLINED,2,1,17,True,True,HIGH_VALUE|ESCALATION_FAVORABLE
BATCH-000115,CUSTOMER-000115,14354.24,INR,FAILED,NETWORK_ERROR,5,0,24,True,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE
BATCH-000116,CUSTOMER-000116,694.3,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,2,0,36,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000117,CUSTOMER-000117,6778.14,INR,FAILED,NETWORK_ERROR,1,1,4,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000118,CUSTOMER-000118,3047.35,INR,FAILED,UNKNOWN,1,0,5,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000119,CUSTOMER-000119,48971.8,INR,RECOVERABLE,NETWORK_ERROR,2,2,9,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000120,CUSTOMER-000120,17500.76,INR,RECOVERABLE,AUTHENTICATION_FAILED,6,3,18,False,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000121,CUSTOMER-000121,372.56,INR,EXPIRED,UNKNOWN,0,0,39,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000122,CUSTOMER-000122,7487.98,INR,FAILED,NETWORK_ERROR,1,0,7,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000123,CUSTOMER-000123,2342.78,INR,FAILED,CARD_DECLINED,3,3,5,True,True,RECENT_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000124,CUSTOMER-000124,34252.71,INR,RECOVERABLE,CARD_DECLINED,2,1,7,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000125,CUSTOMER-000125,18261.58,INR,FAILED,CARD_DECLINED,5,5,28,True,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000126,CUSTOMER-000126,268.82,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,2,0,33,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000127,CUSTOMER-000127,1977.42,INR,FAILED,INSUFFICIENT_FUNDS,0,0,2,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000128,CUSTOMER-000128,7204.34,INR,RECOVERABLE,UNKNOWN,2,2,5,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000129,CUSTOMER-000129,44384.27,INR,RECOVERABLE,CARD_DECLINED,0,0,7,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000130,CUSTOMER-000130,9077.64,INR,FAILED,INSUFFICIENT_FUNDS,7,0,22,False,False,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000131,CUSTOMER-000131,232.74,INR,EXPIRED,UNKNOWN,1,1,50,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000132,CUSTOMER-000132,1557.01,INR,RECOVERABLE,INSUFFICIENT_FUNDS,2,2,4,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000133,CUSTOMER-000133,5859.83,INR,RECOVERABLE,UNKNOWN,2,2,2,True,False,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000134,CUSTOMER-000134,20014.72,INR,RECOVERABLE,NETWORK_ERROR,0,0,7,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000135,CUSTOMER-000135,11948.69,INR,RECOVERABLE,CARD_DECLINED,4,4,30,False,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000136,CUSTOMER-000136,448.71,INR,EXPIRED,UNKNOWN,1,1,33,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000137,CUSTOMER-000137,3970.96,INR,FAILED,INSUFFICIENT_FUNDS,1,1,1,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000138,CUSTOMER-000138,7243.06,INR,FAILED,UNKNOWN,2,0,11,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000139,CUSTOMER-000139,22580.69,INR,RECOVERABLE,CARD_DECLINED,1,0,3,True,True,HIGH_VALUE|RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000140,CUSTOMER-000140,13495.55,INR,RECOVERABLE,PAYMENT_METHOD_EXPIRED,7,7,29,True,True,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000141,CUSTOMER-000141,600.33,INR,EXPIRED,UNKNOWN,0,0,37,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000142,CUSTOMER-000142,8385.22,INR,FAILED,NETWORK_ERROR,1,0,7,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000143,CUSTOMER-000143,7388.05,INR,RECOVERABLE,CARD_DECLINED,2,0,9,True,True,CONTACT_FAVORABLE
BATCH-000144,CUSTOMER-000144,49690.29,INR,RECOVERABLE,NETWORK_ERROR,0,0,14,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
